Dataset:     Population sizes by age, sex and region of birth for 1981.
Description: These are numbers taken from the 1981 census used to initialize
             the England and Wales model population for 1981.
Label s:     Sex, 0=male, 1=female.
Label a:     Age, in single year classes.
Label r:     Region of birth, 0=Non-UK, 1=UK

|s |a   |r1     |r0
|0|0|24879|24879
|0|1|24766|24766
|0|2|24287|24287
|0|3|24120|24120
|0|4|24053|24053
|0|5|23568|23568
|0|6|23081|23081
|0|7|23050|23050
|0|8|22891|22891
|0|9|22933|22933
|0|10|22823|22823
|0|11|22547|22547
|0|12|22161|22161
|0|13|22276|22276
|0|14|21583|21583
|0|15|21251|21251
|0|16|22317|22317
|0|17|21734|21734
|0|18|21079|21079
|0|19|20271|20271
|0|20|22092|22092
|0|21|23842|23842
|0|22|26022|26022
|0|23|28888|28888
|0|24|31367|31367
|0|25|34371|34371
|0|26|36552|36552
|0|27|37354|37354
|0|28|39173|39173
|0|29|39313|39313
|0|30|39327|39327
|0|31|38230|38230
|0|32|38066|38066
|0|33|37659|37659
|0|34|37790|37790
|0|35|35943|35943
|0|36|34348|34348
|0|37|33086|33086
|0|38|31187|31187
|0|39|29323|29323
|0|40|28118|28118
|0|41|26754|26754
|0|42|25675|25675
|0|43|24694|24694
|0|44|23594|23594
|0|45|22380|22380
|0|46|21313|21313
|0|47|20630|20630
|0|48|20119|20119
|0|49|19553|19553
|0|50|19128|19128
|0|51|19241|19241
|0|52|19562|19562
|0|53|20549|20549
|0|54|21350|21350
|0|55|17478|17478
|0|56|16574|16574
|0|57|15958|15958
|0|58|15446|15446
|0|59|13962|13962
|0|60|13338|13338
|0|61|14011|14011
|0|62|14135|14135
|0|63|13765|13765
|0|64|13504|13504
|0|65|13086|13086
|0|66|12372|12372
|0|67|11701|11701
|0|68|11497|11497
|0|69|11258|11258
|0|70|11213|11213
|0|71|10713|10713
|0|72|9933|9933
|0|73|9380|9380
|0|74|8967|8967
|0|75|8471|8471
|0|76|8053|8053
|0|77|7630|7630
|0|78|7202|7202
|0|79|6864|6864
|0|80|6611|6611
|0|81|6419|6419
|0|82|4262|4262
|0|83|3244|3244
|0|84|3204|3204
|0|85|3053|3053
|0|86|2749|2749
|0|87|2320|2320
|0|88|1952|1952
|0|89|1574|1574
|0|90|4423|4423
|0|91|0|0
|0|92|0|0
|0|93|0|0
|0|94|0|0
|0|95|0|0
|0|96|0|0
|0|97|0|0
|0|98|0|0
|0|99|0|0
|0|100|0|0
|0|101|0|0
|0|102|0|0
|0|103|0|0
|0|104|0|0
|0|105|0|0
|0|106|0|0
|0|107|0|0
|0|108|0|0
|0|109|0|0
|0|110|0|0
|0|111|0|0
|0|112|0|0
|0|113|0|0
|0|114|0|0
|0|115|0|0
|0|116|0|0
|0|117|0|0
|0|118|0|0
|0|119|0|0
|0|120|0|0
|1|0|23690|23690
|1|1|23605|23605
|1|2|23286|23286
|1|3|23262|23262
|1|4|23465|23465
|1|5|22304|22304
|1|6|21807|21807
|1|7|21979|21979
|1|8|22216|22216
|1|9|22311|22311
|1|10|21881|21881
|1|11|21700|21700
|1|12|21157|21157
|1|13|21340|21340
|1|14|20757|20757
|1|15|20335|20335
|1|16|20981|20981
|1|17|20353|20353
|1|18|20169|20169
|1|19|20761|20761
|1|20|23437|23437
|1|21|25145|25145
|1|22|27527|27527
|1|23|30275|30275
|1|24|32820|32820
|1|25|34500|34500
|1|26|35830|35830
|1|27|36316|36316
|1|28|37269|37269
|1|29|37462|37462
|1|30|36644|36644
|1|31|35449|35449
|1|32|35808|35808
|1|33|35467|35467
|1|34|35398|35398
|1|35|34833|34833
|1|36|33966|33966
|1|37|32795|32795
|1|38|31603|31603
|1|39|29853|29853
|1|40|28525|28525
|1|41|27037|27037
|1|42|25882|25882
|1|43|24839|24839
|1|44|23947|23947
|1|45|22972|22972
|1|46|21955|21955
|1|47|21585|21585
|1|48|20980|20980
|1|49|20668|20668
|1|50|20443|20443
|1|51|20396|20396
|1|52|20874|20874
|1|53|21746|21746
|1|54|22420|22420
|1|55|18656|18656
|1|56|17600|17600
|1|57|17071|17071
|1|58|16732|16732
|1|59|15142|15142
|1|60|14320|14320
|1|61|14985|14985
|1|62|14925|14925
|1|63|14525|14525
|1|64|14265|14265
|1|65|13667|13667
|1|66|13175|13175
|1|67|12585|12585
|1|68|12620|12620
|1|69|12663|12663
|1|70|12705|12705
|1|71|12636|12636
|1|72|12013|12013
|1|73|11659|11659
|1|74|11454|11454
|1|75|11357|11357
|1|76|11157|11157
|1|77|11003|11003
|1|78|10698|10698
|1|79|10508|10508
|1|80|10318|10318
|1|81|10229|10229
|1|82|7207|7207
|1|83|5848|5848
|1|84|6138|6138
|1|85|6172|6172
|1|86|6009|6009
|1|87|5395|5395
|1|88|4713|4713
|1|89|3954|3954
|1|90|14535|14535
|1|91|0|0
|1|92|0|0
|1|93|0|0
|1|94|0|0
|1|95|0|0
|1|96|0|0
|1|97|0|0
|1|98|0|0
|1|99|0|0
|1|100|0|0
|1|101|0|0
|1|102|0|0
|1|103|0|0
|1|104|0|0
|1|105|0|0
|1|106|0|0
|1|107|0|0
|1|108|0|0
|1|109|0|0
|1|110|0|0
|1|111|0|0
|1|112|0|0
|1|113|0|0
|1|114|0|0
|1|115|0|0
|1|116|0|0
|1|117|0|0
|1|118|0|0
|1|119|0|0
|1|120|0|0
